source_path,destination_path,category,reason,size_bytes,migration_method,notes
src/deepc_go2/__init__.py,src/deepc/__init__.py,CORE,Source of the package entry point but current init imports omitted safe_command_set signed_deepc and u6_deepc modules,2643,REGENERATE,Create a minimal final init exporting only retained geometry Hankel and QP symbols; do not copy the broad current import surface.
src/deepc_go2/geometry.py,src/deepc/geometry.py,CORE,Required angle and SE2 geometry helpers,2826,COPY,Used by final Genesis DeePC.
src/deepc_go2/hankel.py,src/deepc/hankel.py,CORE,Required Hankel schema and loader,14934,COPY,Used by final Genesis controller.
src/deepc_go2/qp.py,src/deepc/qp.py,CORE,Required continuous DeePC QP implementation,9063,COPY,Used by final recovered DeePC.
src/deepc_go2/receding.py,,CORE,Generic receding helper not imported by selected final chain,3728,OMIT_AFTER_REVIEW,Retained only in the source worktree.
src/deepc_go2/local_controller.py,,CORE,Alternate maintained controller not used by selected final branch,14035,OMIT_AFTER_REVIEW,Avoid a second final-controller implementation.
src/deepc_go2/miqp.py,,CORE,Generic MIQP utility not used by exact physical solver or Genesis champion,7401,OMIT_AFTER_REVIEW,Exact physical solver is retained separately.
src/deepc_go2/genesis_walking/contracts.py,src/learned_execution/contracts.py,CORE,Authoritative observable student contract,9902,COPY,Required by dataset collection and validation.
controllers/command_gate.py,,CORE,Current generic command gate is not the selected frozen physical source,3245,OMIT_AFTER_REVIEW,Avoid mixing current proposal semantics with final-yaw evidence.
controllers/ros2_deepc_node.py,,CORE,Current generic ROS2 node is not the selected frozen physical source,11089,OMIT_AFTER_REVIEW,Exact final-yaw node is retained from evidence package.
evidence_miqp_3input_final_yaw_2026_07_06_180804/source_files/deadzone_miqp_deepc_preview_solver_3INPUT_DOG2.py,src/physical/miqp_solver_final.py,CORE,Exact final 3-input physical MIQP solver,17582,COPY,SHA256 376aa4ac64abc5067f5ca9cf908e0e94afc9722f65a6626af40fceca5d5a7e12.
