source_path,classification,proposed_destination,reason,size_bytes,required_by,notes
src/deepc_go2/__init__.py,CORE,src/deepc/__init__.py,Reusable DeePC package entry point,2643,physical-final;genesis-champion,Import namespace must be normalized from deepc_go2.
src/deepc_go2/geometry.py,CORE,src/deepc/geometry.py,Angle and SE2 geometry helper used by controllers,2826,genesis-champion,Keep tests with the migrated module.
src/deepc_go2/hankel.py,CORE,src/deepc/hankel.py,Hankel data schema and loader used by recovered DeePC,14934,genesis-champion,Genesis runtime imports this module.
src/deepc_go2/qp.py,CORE,src/deepc/qp.py,Continuous DeePC QP implementation,9063,genesis-champion,Required by final_receding_deepc after import rewrite.
src/deepc_go2/receding.py,CORE,src/deepc/receding.py,Receding-horizon DeePC support,3728,genesis-champion,Reusable library source.
src/deepc_go2/local_controller.py,CORE,src/deepc/local_controller.py,Local control wrapper retained by source-only release boundary,14035,physical-final;genesis-champion,Not by itself proof of the final physical benchmark.
src/deepc_go2/miqp.py,CORE,src/deepc/miqp.py,MIQP utility implementation,7401,physical-final,Use only if dependency audit confirms it replaces no frozen physical solver semantics.
src/deepc_go2/genesis_walking/contracts.py,CORE,src/learned_execution/contracts.py,Authoritative observable student state/action contract,9902,il-pipeline;genesis-champion,Expert dataset validator imports this file.
controllers/command_gate.py,CORE,src/physical/command_gate.py,Current ROS command gate source,3245,physical-final,Reusable maintained source; not identical to historical frozen MIQP solver.
controllers/ros2_deepc_node.py,CORE,src/physical/ros2_deepc_node.py,Maintained ROS2 physical entry point,11089,physical-final,Default paths and current safe-set behavior require review against frozen final-yaw source.
evidence_miqp_3input_final_yaw_2026_07_06_180804/source_files/deadzone_miqp_deepc_preview_solver_3INPUT_DOG2.py,CORE,src/physical/miqp_solver_final.py,Exact final 3-input MIQP solver source,17582,physical-final,SHA256 376aa4ac64abc5067f5ca9cf908e0e94afc9722f65a6626af40fceca5d5a7e12; solver alphabet is frozen.
evidence_miqp_3input_final_yaw_2026_07_06_180804/source_files/miqp_online_receding_deepc_controller_FINAL_3INPUT_YAW.py,CORE,src/physical/online_receding_controller_final.py,Exact final online physical controller,17104,physical-final,SHA256 7bd5eaddda364b3f3124873038c0e3649e6237de032720b08ebd8c4a93ace423; contains a hardcoded source-root path.
evidence_miqp_3input_final_yaw_2026_07_06_180804/source_files/deepc_ui_node_FINAL_YAW_UI.py,CORE,src/physical/final_yaw_ui.py,Exact final-yaw ROS2/Tkinter UI node,36367,physical-final,SHA256 1c3c733241ccc893d7bd8150a8e0811fb95d564e07ccf713e0f72a4821e7ca0b.
final_deepc_student/target_suite_recovery/controllers/final_receding_deepc.py,CORE,src/deepc/genesis_recovered_deepc.py,Selected Genesis DeePC controller,11963,genesis-champion,Imports deepc_go2 and expects Go2Project sibling layout.
final_deepc_student/target_suite_recovery/controllers/direct_student_runtime.py,CORE,src/learned_execution/direct_student_runtime.py,Selected direct student runtime adapter,14021,genesis-champion,Uses final checkpoint and Genesis deployment scene.
catastrophic_command_safety_v2/final_safety_refinement/pre_s6_minimal_safety_fix/run_minimal_safety_fix_search.py,CORE,src/learned_execution/candidate_qp.py,Frozen candidate QP containing solver-side safety constraints,89980,genesis-champion,C2 and vx constraints must remain inside optimization; no post-solver rewrite.
catastrophic_command_safety_v2/final_safety_refinement/final_champion_genesis_ui/frozen_controller.py,CORE,src/learned_execution/frozen_champion_controller.py,Integrated C2_PLUS_VX champion adapter,18040,genesis-champion,Dynamically loads candidate QP and final DeePC source; preserve freeze checks.
